,Star_name,Distance,Mass,Radius
3005,Canopus,0310,15,71
3006,Alpha Centauri,0004.4,1.1,1.2
3007,Arcturus,0037,1.1,26
3008,Vega,0025,2.2,2.7
3009,Capella,0043,2.6,12
3010,Rigel,0860,23,78.9
3011,Procyon,0011.4,1.5,1.9
3012,Betelgeuse,0640[1],20,950
3013,Achernar,0144,6.7,9.3
3014,Hadar,0390,10.5,8.6
3015,Altair,0017,1.8,1.8
3016,Acrux,0320,18,8.9
3017,Aldebaran,0065,1.5,44
3018,Antares,0600,12,680
3019,Spica,0260,11.43,7.47
3020,Pollux,0034,1.9,8.8
3021,Fomalhaut,0025,1.9,1.8
3022,Deneb,"2,600",19,203
3023,Mimosa,0350,16,8.4
3024,Regulus,0077,3.8,3.1
3025,Adhara,0430,12.5,14
3026,Shaula,0700,14.5,8.8
3027,Castor,0052,2.8,2.4
3028,Gacrux,0088,1.5,84
3029,Bellatrix,0240,8.6,5.8
3030,Elnath,0130,5.0,4.2
3031,Miaplacidus,0110,3.5,6.8
3032,Alnilam,"2,000",32,42
3033,Gamma Velorum,"01,100",9.0,6
3034,Alnair,0101,4.0,3.4
3035,Alioth,0081,2.9,4.2
3036,Alnitak,01050,33,20
3037,Dubhe,0120,4.25,30
3038,Mirfak,0590,8.5,68
3039,Wezen,"1,600",17,200
3040,Sargas,0270,5.7,26
3041,Kaus Australis,0140,3.5,6.8
3042,Avior,0630,9.0,130
3043,Alkaid,0104,6.1,3.4
3044,Menkalinan,081,2.39,2.77
3045,Atria,0390,7,92
3046,Alhena,0109,2.8,3.3
3047,Peacock,0180,5.9,4.8
3048,Alsephina[2],0080,2.4,2.9
3049,Mirzam,0500,13.5,10
3050,Polaris,0430,5.4,39
3051,Alphard,0180,3.0,50
3052,Mintaka,01200,24,16.5
3053,Scheat,0196,2.1,95
3054,Almaaz,0653,15,140
3055,Rasalgethi,0360,2.8,280
3056,Tau Ceti,011.9,0.783,0.893
3057,Delta Pavonis,019.92,0.991,1.22
3058,Ran,010.48,0.82,0.74
3059,V382 Carinae,"08,900",20,485
3060,Eta Carinae,"07,500",100,60 - 881
3061,Delta Cephei,0887,4.5,44.5
3062,Mu Cephei,"06,000",19.2,972
3063,Titawin,044.25,1.27,1.48
3064,Rho Cassiopeiae,"08,154",22,636-981
3065,P Cygni,"05,545",30,76
3066,La Superba,"01,000",,129 - 342
3067,VV Cephei,"04,900",18.2,"516 - 1,050"
3068,61 Cygni,011.41,0.7,0.665
3069,R Doradus,0178,0.7 - 1.0,298
3070,Polaris Australis,0281,1.59,3.74
3071,R Coronae Borealis,"04,566",0.85,85
3072,54 Piscium,036.1,0.76,0.94
3073,Mira,0300,1.2,370
3074,RW Cephei,"014,000",13.9,"1,158"
3075,Lacaille 8760,012.87,0.6,0.51
3076,V838 Monocerotis,"019,896",?,380 - 750
3077,HD 140283,0190,?,1.4
3078,II Pegasi,0130,0.8,3.4
3079,VY Canis Majoris,"03,900",17,"1,420"
3080,Pistol Star,"025,000",100,320
3081,Sun,0.000015813,1,1
3082,Sirius,0008.6,2.1,1.71
3083,Canopus,0310,15,71
3084,Alpha Centauri,0004.4,1.1,1.2
3085,Arcturus,0037,1.1,26
3086,Vega,0025,2.2,2.7
3087,Capella,0043,2.6,12
3088,Rigel,0860,23,78.9
3089,Procyon,0011.4,1.5,1.9
3090,Betelgeuse,0640[1],20,950
3091,Achernar,0144,6.7,9.3
3092,Hadar,0390,10.5,8.6
3093,Altair,0017,1.8,1.8
3094,Acrux,0320,18,8.9
3095,Aldebaran,0065,1.5,44
3096,Antares,0600,12,680
3097,Spica,0260,11.43,7.47
3098,Pollux,0034,1.9,8.8
3099,Fomalhaut,0025,1.9,1.8
3100,Deneb,"2,600",19,203
3101,Mimosa,0350,16,8.4
3102,Regulus,0077,3.8,3.1
3103,Adhara,0430,12.5,14
3104,Shaula,0700,14.5,8.8
3105,Castor,0052,2.8,2.4
3106,Gacrux,0088,1.5,84
3107,Bellatrix,0240,8.6,5.8
3108,Elnath,0130,5.0,4.2
3109,Miaplacidus,0110,3.5,6.8
3110,Alnilam,"2,000",32,42
3111,Gamma Velorum,"01,100",9.0,6
3112,Alnair,0101,4.0,3.4
3113,Alioth,0081,2.9,4.2
3114,Alnitak,01050,33,20
3115,Dubhe,0120,4.25,30
3116,Mirfak,0590,8.5,68
3117,Wezen,"1,600",17,200
3118,Sargas,0270,5.7,26
3119,Kaus Australis,0140,3.5,6.8
3120,Avior,0630,9.0,130
3121,Alkaid,0104,6.1,3.4
3122,Menkalinan,081,2.39,2.77
3123,Atria,0390,7,92
3124,Alhena,0109,2.8,3.3
3125,Peacock,0180,5.9,4.8
3126,Alsephina[2],0080,2.4,2.9
3127,Mirzam,0500,13.5,10
3128,Polaris,0430,5.4,39
3129,Alphard,0180,3.0,50
3130,Mintaka,01200,24,16.5
3131,Scheat,0196,2.1,95
3132,Almaaz,0653,15,140
3133,Rasalgethi,0360,2.8,280
3134,Tau Ceti,011.9,0.783,0.893
3135,Delta Pavonis,019.92,0.991,1.22
3136,Ran,010.48,0.82,0.74
3137,V382 Carinae,"08,900",20,485
3138,Eta Carinae,"07,500",100,60 - 881
3139,Delta Cephei,0887,4.5,44.5
3140,Mu Cephei,"06,000",19.2,972
3141,Titawin,044.25,1.27,1.48
3142,Rho Cassiopeiae,"08,154",22,636-981
3143,P Cygni,"05,545",30,76
3144,La Superba,"01,000",,129 - 342
3145,VV Cephei,"04,900",18.2,"516 - 1,050"
3146,61 Cygni,011.41,0.7,0.665
3147,R Doradus,0178,0.7 - 1.0,298
3148,Polaris Australis,0281,1.59,3.74
3149,R Coronae Borealis,"04,566",0.85,85
3150,54 Piscium,036.1,0.76,0.94
3151,Mira,0300,1.2,370
3152,RW Cephei,"014,000",13.9,"1,158"
3153,Lacaille 8760,012.87,0.6,0.51
3154,V838 Monocerotis,"019,896",?,380 - 750
3155,HD 140283,0190,?,1.4
3156,II Pegasi,0130,0.8,3.4
3157,VY Canis Majoris,"03,900",17,"1,420"
3158,Pistol Star,"025,000",100,320
3159,S Doradus,"0169,000",24,380
3160,Sun,0.000015813,1,1
3161,Sirius,0008.6,2.1,1.71
3162,Canopus,0310,15,71
3163,Alpha Centauri,0004.4,1.1,1.2
3164,Arcturus,0037,1.1,26
3165,Vega,0025,2.2,2.7
3166,Capella,0043,2.6,12
3167,Rigel,0860,23,78.9
3168,Procyon,0011.4,1.5,1.9
3169,Betelgeuse,0640[1],20,950
3170,Achernar,0144,6.7,9.3
3171,Hadar,0390,10.5,8.6
3172,Altair,0017,1.8,1.8
3173,Acrux,0320,18,8.9
3174,Aldebaran,0065,1.5,44
3175,Antares,0600,12,680
3176,Spica,0260,11.43,7.47
3177,Pollux,0034,1.9,8.8
3178,Fomalhaut,0025,1.9,1.8
3179,Deneb,"2,600",19,203
3180,Mimosa,0350,16,8.4
3181,Regulus,0077,3.8,3.1
3182,Adhara,0430,12.5,14
3183,Shaula,0700,14.5,8.8
3184,Castor,0052,2.8,2.4
3185,Gacrux,0088,1.5,84
3186,Bellatrix,0240,8.6,5.8
3187,Elnath,0130,5.0,4.2
3188,Miaplacidus,0110,3.5,6.8
3189,Alnilam,"2,000",32,42
3190,Gamma Velorum,"01,100",9.0,6
3191,Alnair,0101,4.0,3.4
3192,Alioth,0081,2.9,4.2
3193,Alnitak,01050,33,20
3194,Dubhe,0120,4.25,30
3195,Mirfak,0590,8.5,68
3196,Wezen,"1,600",17,200
3197,Sargas,0270,5.7,26
3198,Kaus Australis,0140,3.5,6.8
3199,Avior,0630,9.0,130
3200,Alkaid,0104,6.1,3.4
3201,Menkalinan,081,2.39,2.77
3202,Atria,0390,7,92
3203,Alhena,0109,2.8,3.3
3204,Peacock,0180,5.9,4.8
3205,Alsephina[2],0080,2.4,2.9
3206,Mirzam,0500,13.5,10
3207,Polaris,0430,5.4,39
3208,Alphard,0180,3.0,50
3209,Mintaka,01200,24,16.5
3210,Scheat,0196,2.1,95
3211,Almaaz,0653,15,140
3212,Rasalgethi,0360,2.8,280
3213,Tau Ceti,011.9,0.783,0.893
3214,Delta Pavonis,019.92,0.991,1.22
3215,Ran,010.48,0.82,0.74
3216,V382 Carinae,"08,900",20,485
3217,Eta Carinae,"07,500",100,60 - 881
3218,Delta Cephei,0887,4.5,44.5
3219,Mu Cephei,"06,000",19.2,972
3220,Titawin,044.25,1.27,1.48
3221,Rho Cassiopeiae,"08,154",22,636-981
3222,P Cygni,"05,545",30,76
3223,La Superba,"01,000",,129 - 342
3224,VV Cephei,"04,900",18.2,"516 - 1,050"
3225,61 Cygni,011.41,0.7,0.665
3226,R Doradus,0178,0.7 - 1.0,298
3227,Polaris Australis,0281,1.59,3.74
3228,R Coronae Borealis,"04,566",0.85,85
3229,54 Piscium,036.1,0.76,0.94
3230,Mira,0300,1.2,370
3231,RW Cephei,"014,000",13.9,"1,158"
3232,Lacaille 8760,012.87,0.6,0.51
3233,V838 Monocerotis,"019,896",?,380 - 750
3234,HD 140283,0190,?,1.4
3235,II Pegasi,0130,0.8,3.4
3236,VY Canis Majoris,"03,900",17,"1,420"
3237,Pistol Star,"025,000",100,320
3238,S Doradus,"0169,000",24,380
3239,UY Scuti,"05,100",7 - 10,755
3240,Sun,0.000015813,1,1
3241,Sirius,0008.6,2.1,1.71
3242,Canopus,0310,15,71
3243,Alpha Centauri,0004.4,1.1,1.2
3244,Arcturus,0037,1.1,26
3245,Vega,0025,2.2,2.7
3246,Capella,0043,2.6,12
3247,Rigel,0860,23,78.9
3248,Procyon,0011.4,1.5,1.9
3249,Betelgeuse,0640[1],20,950
3250,Achernar,0144,6.7,9.3
3251,Hadar,0390,10.5,8.6
3252,Altair,0017,1.8,1.8
3253,Acrux,0320,18,8.9
3254,Aldebaran,0065,1.5,44
3255,Antares,0600,12,680
3256,Spica,0260,11.43,7.47
3257,Pollux,0034,1.9,8.8
3258,Fomalhaut,0025,1.9,1.8
3259,Deneb,"2,600",19,203
3260,Mimosa,0350,16,8.4
3261,Regulus,0077,3.8,3.1
3262,Adhara,0430,12.5,14
3263,Shaula,0700,14.5,8.8
3264,Castor,0052,2.8,2.4
3265,Gacrux,0088,1.5,84
3266,Bellatrix,0240,8.6,5.8
3267,Elnath,0130,5.0,4.2
3268,Miaplacidus,0110,3.5,6.8
3269,Alnilam,"2,000",32,42
3270,Gamma Velorum,"01,100",9.0,6
3271,Alnair,0101,4.0,3.4
3272,Alioth,0081,2.9,4.2
3273,Alnitak,01050,33,20
3274,Dubhe,0120,4.25,30
3275,Mirfak,0590,8.5,68
3276,Wezen,"1,600",17,200
3277,Sargas,0270,5.7,26
3278,Kaus Australis,0140,3.5,6.8
3279,Avior,0630,9.0,130
3280,Alkaid,0104,6.1,3.4
3281,Menkalinan,081,2.39,2.77
3282,Atria,0390,7,92
3283,Alhena,0109,2.8,3.3
3284,Peacock,0180,5.9,4.8
3285,Alsephina[2],0080,2.4,2.9
3286,Mirzam,0500,13.5,10
3287,Polaris,0430,5.4,39
3288,Alphard,0180,3.0,50
3289,Mintaka,01200,24,16.5
3290,Scheat,0196,2.1,95
3291,Almaaz,0653,15,140
3292,Rasalgethi,0360,2.8,280
3293,Tau Ceti,011.9,0.783,0.893
3294,Delta Pavonis,019.92,0.991,1.22
3295,Ran,010.48,0.82,0.74
3296,V382 Carinae,"08,900",20,485
3297,Eta Carinae,"07,500",100,60 - 881
3298,Delta Cephei,0887,4.5,44.5
3299,Mu Cephei,"06,000",19.2,972
3300,Titawin,044.25,1.27,1.48
3301,Rho Cassiopeiae,"08,154",22,636-981
3302,P Cygni,"05,545",30,76
3303,La Superba,"01,000",,129 - 342
3304,VV Cephei,"04,900",18.2,"516 - 1,050"
3305,61 Cygni,011.41,0.7,0.665
3306,R Doradus,0178,0.7 - 1.0,298
3307,Polaris Australis,0281,1.59,3.74
3308,R Coronae Borealis,"04,566",0.85,85
3309,54 Piscium,036.1,0.76,0.94
3310,Mira,0300,1.2,370
3311,RW Cephei,"014,000",13.9,"1,158"
3312,Lacaille 8760,012.87,0.6,0.51
3313,V838 Monocerotis,"019,896",?,380 - 750
3314,HD 140283,0190,?,1.4
3315,II Pegasi,0130,0.8,3.4
3316,VY Canis Majoris,"03,900",17,"1,420"
3317,Pistol Star,"025,000",100,320
3318,S Doradus,"0169,000",24,380
3319,UY Scuti,"05,100",7 - 10,755
3320,Barnard's Star,05.98,0.14,0.20
3321,Sun,0.000015813,1,1
3322,Sirius,0008.6,2.1,1.71
3323,Canopus,0310,15,71
3324,Alpha Centauri,0004.4,1.1,1.2
3325,Arcturus,0037,1.1,26
3326,Vega,0025,2.2,2.7
3327,Capella,0043,2.6,12
3328,Rigel,0860,23,78.9
3329,Procyon,0011.4,1.5,1.9
3330,Betelgeuse,0640[1],20,950
3331,Achernar,0144,6.7,9.3
3332,Hadar,0390,10.5,8.6
3333,Altair,0017,1.8,1.8
3334,Acrux,0320,18,8.9
3335,Aldebaran,0065,1.5,44
3336,Antares,0600,12,680
3337,Spica,0260,11.43,7.47
3338,Pollux,0034,1.9,8.8
3339,Fomalhaut,0025,1.9,1.8
3340,Deneb,"2,600",19,203
3341,Mimosa,0350,16,8.4
3342,Regulus,0077,3.8,3.1
3343,Adhara,0430,12.5,14
3344,Shaula,0700,14.5,8.8
3345,Castor,0052,2.8,2.4
3346,Gacrux,0088,1.5,84
3347,Bellatrix,0240,8.6,5.8
3348,Elnath,0130,5.0,4.2
3349,Miaplacidus,0110,3.5,6.8
3350,Alnilam,"2,000",32,42
3351,Gamma Velorum,"01,100",9.0,6
3352,Alnair,0101,4.0,3.4
3353,Alioth,0081,2.9,4.2
3354,Alnitak,01050,33,20
3355,Dubhe,0120,4.25,30
3356,Mirfak,0590,8.5,68
3357,Wezen,"1,600",17,200
3358,Sargas,0270,5.7,26
3359,Kaus Australis,0140,3.5,6.8
3360,Avior,0630,9.0,130
3361,Alkaid,0104,6.1,3.4
3362,Menkalinan,081,2.39,2.77
3363,Atria,0390,7,92
3364,Alhena,0109,2.8,3.3
3365,Peacock,0180,5.9,4.8
3366,Alsephina[2],0080,2.4,2.9
3367,Mirzam,0500,13.5,10
3368,Polaris,0430,5.4,39
3369,Alphard,0180,3.0,50
3370,Mintaka,01200,24,16.5
3371,Scheat,0196,2.1,95
3372,Almaaz,0653,15,140
3373,Rasalgethi,0360,2.8,280
3374,Tau Ceti,011.9,0.783,0.893
3375,Delta Pavonis,019.92,0.991,1.22
3376,Ran,010.48,0.82,0.74
3377,V382 Carinae,"08,900",20,485
3378,Eta Carinae,"07,500",100,60 - 881
3379,Delta Cephei,0887,4.5,44.5
3380,Mu Cephei,"06,000",19.2,972
3381,Titawin,044.25,1.27,1.48
3382,Rho Cassiopeiae,"08,154",22,636-981
3383,P Cygni,"05,545",30,76
3384,La Superba,"01,000",,129 - 342
3385,VV Cephei,"04,900",18.2,"516 - 1,050"
3386,61 Cygni,011.41,0.7,0.665
3387,R Doradus,0178,0.7 - 1.0,298
3388,Polaris Australis,0281,1.59,3.74
3389,R Coronae Borealis,"04,566",0.85,85
3390,54 Piscium,036.1,0.76,0.94
3391,Mira,0300,1.2,370
3392,RW Cephei,"014,000",13.9,"1,158"
3393,Lacaille 8760,012.87,0.6,0.51
3394,V838 Monocerotis,"019,896",?,380 - 750
3395,HD 140283,0190,?,1.4
3396,II Pegasi,0130,0.8,3.4
3397,VY Canis Majoris,"03,900",17,"1,420"
3398,Pistol Star,"025,000",100,320
3399,S Doradus,"0169,000",24,380
3400,UY Scuti,"05,100",7 - 10,755
3401,Barnard's Star,05.98,0.14,0.20
3402,Luhman 16,06.52,0.04,?
3403,Sun,0.000015813,1,1
3404,Sirius,0008.6,2.1,1.71
3405,Canopus,0310,15,71
3406,Alpha Centauri,0004.4,1.1,1.2
3407,Arcturus,0037,1.1,26
3408,Vega,0025,2.2,2.7
3409,Capella,0043,2.6,12
3410,Rigel,0860,23,78.9
3411,Procyon,0011.4,1.5,1.9
3412,Betelgeuse,0640[1],20,950
3413,Achernar,0144,6.7,9.3
3414,Hadar,0390,10.5,8.6
3415,Altair,0017,1.8,1.8
3416,Acrux,0320,18,8.9
3417,Aldebaran,0065,1.5,44
3418,Antares,0600,12,680
3419,Spica,0260,11.43,7.47
3420,Pollux,0034,1.9,8.8
3421,Fomalhaut,0025,1.9,1.8
3422,Deneb,"2,600",19,203
3423,Mimosa,0350,16,8.4
3424,Regulus,0077,3.8,3.1
3425,Adhara,0430,12.5,14
3426,Shaula,0700,14.5,8.8
3427,Castor,0052,2.8,2.4
3428,Gacrux,0088,1.5,84
3429,Bellatrix,0240,8.6,5.8
3430,Elnath,0130,5.0,4.2
3431,Miaplacidus,0110,3.5,6.8
3432,Alnilam,"2,000",32,42
3433,Gamma Velorum,"01,100",9.0,6
3434,Alnair,0101,4.0,3.4
3435,Alioth,0081,2.9,4.2
3436,Alnitak,01050,33,20
3437,Dubhe,0120,4.25,30
3438,Mirfak,0590,8.5,68
3439,Wezen,"1,600",17,200
3440,Sargas,0270,5.7,26
3441,Kaus Australis,0140,3.5,6.8
3442,Avior,0630,9.0,130
3443,Alkaid,0104,6.1,3.4
3444,Menkalinan,081,2.39,2.77
3445,Atria,0390,7,92
3446,Alhena,0109,2.8,3.3
3447,Peacock,0180,5.9,4.8
3448,Alsephina[2],0080,2.4,2.9
3449,Mirzam,0500,13.5,10
3450,Polaris,0430,5.4,39
3451,Alphard,0180,3.0,50
3452,Mintaka,01200,24,16.5
3453,Scheat,0196,2.1,95
3454,Almaaz,0653,15,140
3455,Rasalgethi,0360,2.8,280
3456,Tau Ceti,011.9,0.783,0.893
3457,Delta Pavonis,019.92,0.991,1.22
3458,Ran,010.48,0.82,0.74
3459,V382 Carinae,"08,900",20,485
3460,Eta Carinae,"07,500",100,60 - 881
3461,Delta Cephei,0887,4.5,44.5
3462,Mu Cephei,"06,000",19.2,972
3463,Titawin,044.25,1.27,1.48
3464,Rho Cassiopeiae,"08,154",22,636-981
3465,P Cygni,"05,545",30,76
3466,La Superba,"01,000",,129 - 342
3467,VV Cephei,"04,900",18.2,"516 - 1,050"
3468,61 Cygni,011.41,0.7,0.665
3469,R Doradus,0178,0.7 - 1.0,298
3470,Polaris Australis,0281,1.59,3.74
3471,R Coronae Borealis,"04,566",0.85,85
3472,54 Piscium,036.1,0.76,0.94
3473,Mira,0300,1.2,370
3474,RW Cephei,"014,000",13.9,"1,158"
3475,Lacaille 8760,012.87,0.6,0.51
3476,V838 Monocerotis,"019,896",?,380 - 750
3477,HD 140283,0190,?,1.4
3478,II Pegasi,0130,0.8,3.4
3479,VY Canis Majoris,"03,900",17,"1,420"
3480,Pistol Star,"025,000",100,320
3481,S Doradus,"0169,000",24,380
3482,UY Scuti,"05,100",7 - 10,755
3483,Barnard's Star,05.98,0.14,0.20
3484,Luhman 16,06.52,0.04,?
3485,Proxima Centauri,04.25,0.12,0.15
3486,Sun,0.000015813,1,1
3487,Sirius,0008.6,2.1,1.71
3488,Canopus,0310,15,71
3489,Alpha Centauri,0004.4,1.1,1.2
3490,Arcturus,0037,1.1,26
3491,Vega,0025,2.2,2.7
3492,Capella,0043,2.6,12
3493,Rigel,0860,23,78.9
3494,Procyon,0011.4,1.5,1.9
3495,Betelgeuse,0640[1],20,950
3496,Achernar,0144,6.7,9.3
3497,Hadar,0390,10.5,8.6
3498,Altair,0017,1.8,1.8
3499,Acrux,0320,18,8.9
3500,Aldebaran,0065,1.5,44
3501,Antares,0600,12,680
3502,Spica,0260,11.43,7.47
3503,Pollux,0034,1.9,8.8
3504,Fomalhaut,0025,1.9,1.8
3505,Deneb,"2,600",19,203
3506,Mimosa,0350,16,8.4
3507,Regulus,0077,3.8,3.1
3508,Adhara,0430,12.5,14
3509,Shaula,0700,14.5,8.8
3510,Castor,0052,2.8,2.4
3511,Gacrux,0088,1.5,84
3512,Bellatrix,0240,8.6,5.8
3513,Elnath,0130,5.0,4.2
3514,Miaplacidus,0110,3.5,6.8
3515,Alnilam,"2,000",32,42
3516,Gamma Velorum,"01,100",9.0,6
3517,Alnair,0101,4.0,3.4
3518,Alioth,0081,2.9,4.2
3519,Alnitak,01050,33,20
3520,Dubhe,0120,4.25,30
3521,Mirfak,0590,8.5,68
3522,Wezen,"1,600",17,200
3523,Sargas,0270,5.7,26
3524,Kaus Australis,0140,3.5,6.8
3525,Avior,0630,9.0,130
3526,Alkaid,0104,6.1,3.4
3527,Menkalinan,081,2.39,2.77
3528,Atria,0390,7,92
3529,Alhena,0109,2.8,3.3
3530,Peacock,0180,5.9,4.8
3531,Alsephina[2],0080,2.4,2.9
3532,Mirzam,0500,13.5,10
3533,Polaris,0430,5.4,39
3534,Alphard,0180,3.0,50
3535,Mintaka,01200,24,16.5
3536,Scheat,0196,2.1,95
3537,Almaaz,0653,15,140
3538,Rasalgethi,0360,2.8,280
3539,Tau Ceti,011.9,0.783,0.893
3540,Delta Pavonis,019.92,0.991,1.22
3541,Ran,010.48,0.82,0.74
3542,V382 Carinae,"08,900",20,485
3543,Eta Carinae,"07,500",100,60 - 881
3544,Delta Cephei,0887,4.5,44.5
3545,Mu Cephei,"06,000",19.2,972
3546,Titawin,044.25,1.27,1.48
3547,Rho Cassiopeiae,"08,154",22,636-981
3548,P Cygni,"05,545",30,76
3549,La Superba,"01,000",,129 - 342
3550,VV Cephei,"04,900",18.2,"516 - 1,050"
3551,61 Cygni,011.41,0.7,0.665
3552,R Doradus,0178,0.7 - 1.0,298
3553,Polaris Australis,0281,1.59,3.74
3554,R Coronae Borealis,"04,566",0.85,85
3555,54 Piscium,036.1,0.76,0.94
3556,Mira,0300,1.2,370
3557,RW Cephei,"014,000",13.9,"1,158"
3558,Lacaille 8760,012.87,0.6,0.51
3559,V838 Monocerotis,"019,896",?,380 - 750
3560,HD 140283,0190,?,1.4
3561,II Pegasi,0130,0.8,3.4
3562,VY Canis Majoris,"03,900",17,"1,420"
3563,Pistol Star,"025,000",100,320
3564,S Doradus,"0169,000",24,380
3565,UY Scuti,"05,100",7 - 10,755
3566,Barnard's Star,05.98,0.14,0.20
3567,Luhman 16,06.52,0.04,?
3568,Proxima Centauri,04.25,0.12,0.15
3569,KIC 8462852,"01,470",1.43,1.58
3570,Sun,0.000015813,1,1
3571,Sirius,0008.6,2.1,1.71
3572,Canopus,0310,15,71
3573,Alpha Centauri,0004.4,1.1,1.2
3574,Arcturus,0037,1.1,26
3575,Vega,0025,2.2,2.7
3576,Capella,0043,2.6,12
3577,Rigel,0860,23,78.9
3578,Procyon,0011.4,1.5,1.9
3579,Betelgeuse,0640[1],20,950
3580,Achernar,0144,6.7,9.3
3581,Hadar,0390,10.5,8.6
3582,Altair,0017,1.8,1.8
3583,Acrux,0320,18,8.9
3584,Aldebaran,0065,1.5,44
3585,Antares,0600,12,680
3586,Spica,0260,11.43,7.47
3587,Pollux,0034,1.9,8.8
3588,Fomalhaut,0025,1.9,1.8
3589,Deneb,"2,600",19,203
3590,Mimosa,0350,16,8.4
3591,Regulus,0077,3.8,3.1
3592,Adhara,0430,12.5,14
3593,Shaula,0700,14.5,8.8
3594,Castor,0052,2.8,2.4
3595,Gacrux,0088,1.5,84
3596,Bellatrix,0240,8.6,5.8
3597,Elnath,0130,5.0,4.2
3598,Miaplacidus,0110,3.5,6.8
3599,Alnilam,"2,000",32,42
3600,Gamma Velorum,"01,100",9.0,6
3601,Alnair,0101,4.0,3.4
3602,Alioth,0081,2.9,4.2
3603,Alnitak,01050,33,20
3604,Dubhe,0120,4.25,30
3605,Mirfak,0590,8.5,68
3606,Wezen,"1,600",17,200
3607,Sargas,0270,5.7,26
3608,Kaus Australis,0140,3.5,6.8
3609,Avior,0630,9.0,130
3610,Alkaid,0104,6.1,3.4
3611,Menkalinan,081,2.39,2.77
3612,Atria,0390,7,92
3613,Alhena,0109,2.8,3.3
3614,Peacock,0180,5.9,4.8
3615,Alsephina[2],0080,2.4,2.9
3616,Mirzam,0500,13.5,10
3617,Polaris,0430,5.4,39
3618,Alphard,0180,3.0,50
3619,Mintaka,01200,24,16.5
3620,Scheat,0196,2.1,95
3621,Almaaz,0653,15,140
3622,Rasalgethi,0360,2.8,280
3623,Tau Ceti,011.9,0.783,0.893
3624,Delta Pavonis,019.92,0.991,1.22
3625,Ran,010.48,0.82,0.74
3626,V382 Carinae,"08,900",20,485
3627,Eta Carinae,"07,500",100,60 - 881
3628,Delta Cephei,0887,4.5,44.5
3629,Mu Cephei,"06,000",19.2,972
3630,Titawin,044.25,1.27,1.48
3631,Rho Cassiopeiae,"08,154",22,636-981
3632,P Cygni,"05,545",30,76
3633,La Superba,"01,000",,129 - 342
3634,VV Cephei,"04,900",18.2,"516 - 1,050"
3635,61 Cygni,011.41,0.7,0.665
3636,R Doradus,0178,0.7 - 1.0,298
3637,Polaris Australis,0281,1.59,3.74
3638,R Coronae Borealis,"04,566",0.85,85
3639,54 Piscium,036.1,0.76,0.94
3640,Mira,0300,1.2,370
3641,RW Cephei,"014,000",13.9,"1,158"
3642,Lacaille 8760,012.87,0.6,0.51
3643,V838 Monocerotis,"019,896",?,380 - 750
3644,HD 140283,0190,?,1.4
3645,II Pegasi,0130,0.8,3.4
3646,VY Canis Majoris,"03,900",17,"1,420"
3647,Pistol Star,"025,000",100,320
3648,S Doradus,"0169,000",24,380
3649,UY Scuti,"05,100",7 - 10,755
3650,Barnard's Star,05.98,0.14,0.20
3651,Luhman 16,06.52,0.04,?
3652,Proxima Centauri,04.25,0.12,0.15
3653,KIC 8462852,"01,470",1.43,1.58
3654,R136a1,"0163,000",290,32
3655,Sun,0.000015813,1,1
3656,Sirius,0008.6,2.1,1.71
3657,Canopus,0310,15,71
3658,Alpha Centauri,0004.4,1.1,1.2
3659,Arcturus,0037,1.1,26
3660,Vega,0025,2.2,2.7
3661,Capella,0043,2.6,12
3662,Rigel,0860,23,78.9
3663,Procyon,0011.4,1.5,1.9
3664,Betelgeuse,0640[1],20,950
3665,Achernar,0144,6.7,9.3
3666,Hadar,0390,10.5,8.6
3667,Altair,0017,1.8,1.8
3668,Acrux,0320,18,8.9
3669,Aldebaran,0065,1.5,44
3670,Antares,0600,12,680
3671,Spica,0260,11.43,7.47
3672,Pollux,0034,1.9,8.8
3673,Fomalhaut,0025,1.9,1.8
3674,Deneb,"2,600",19,203
3675,Mimosa,0350,16,8.4
3676,Regulus,0077,3.8,3.1
3677,Adhara,0430,12.5,14
3678,Shaula,0700,14.5,8.8
3679,Castor,0052,2.8,2.4
3680,Gacrux,0088,1.5,84
3681,Bellatrix,0240,8.6,5.8
3682,Elnath,0130,5.0,4.2
3683,Miaplacidus,0110,3.5,6.8
3684,Alnilam,"2,000",32,42
3685,Gamma Velorum,"01,100",9.0,6
3686,Alnair,0101,4.0,3.4
3687,Alioth,0081,2.9,4.2
3688,Alnitak,01050,33,20
3689,Dubhe,0120,4.25,30
3690,Mirfak,0590,8.5,68
3691,Wezen,"1,600",17,200
3692,Sargas,0270,5.7,26
3693,Kaus Australis,0140,3.5,6.8
3694,Avior,0630,9.0,130
3695,Alkaid,0104,6.1,3.4
3696,Menkalinan,081,2.39,2.77
3697,Atria,0390,7,92
3698,Alhena,0109,2.8,3.3
3699,Peacock,0180,5.9,4.8
3700,Alsephina[2],0080,2.4,2.9
3701,Mirzam,0500,13.5,10
3702,Polaris,0430,5.4,39
3703,Alphard,0180,3.0,50
3704,Mintaka,01200,24,16.5
3705,Scheat,0196,2.1,95
3706,Almaaz,0653,15,140
3707,Rasalgethi,0360,2.8,280
3708,Tau Ceti,011.9,0.783,0.893
3709,Delta Pavonis,019.92,0.991,1.22
3710,Ran,010.48,0.82,0.74
3711,V382 Carinae,"08,900",20,485
3712,Eta Carinae,"07,500",100,60 - 881
3713,Delta Cephei,0887,4.5,44.5
